To think very carefully about something that you are doing,Concentrate,Concrete,Concentrate,Contrary,Conclusion
At or towards the back of a thing or person,Behind,Behind,Forward,Next,Under
A common farm bird that is kept for its meat and eggs,Chicken,Click,Clone,Chip,Chicken
A small green animal that lives near water and has long legs for jumping,Frog,Cockroach,Frog,Bird,Frag
A pain in your head,Headache,Stomachache,Pancake,Headache,Drake
A room or building containing books that can be looked at or borrowed,Library,Liability,Library,Lib Steak,Liberty
A place where hot water comes up naturally from the ground,Hot Spring,Hot Spring,Hot girl,Hotto Motto,Hot Pot
The part of a person’s or animal’s face used for smelling or breathing,Nose,Nose,Mouse,Ear,Foot
Someone whose job is to look after people who are ill or injured usually in a hospital,Nurse,Police,Pilot,Driver,Nurse
Having very little money and not many possessions,Poor,Rich,Poor,Roar,Poo
A small animal with long ears and soft fur that lives in a hole in the ground,Rabbit,Rabbit,Turtle,Crab,Tiger
A natural and continuous flow of water in a long line across a country into the sea,River,Lake,Pond,River,Liver
Nervous and embarrassed about meeting and speaking to other people,Shy,Shy,Shut,Friendly,Mad
A large ball of burning gas in space that can be seen at night as a point of light in the sky,Star,StarShip,Super Star,Star,Star Man
A building or place with a stage where plays and shows are performed,Theater,Theater,Throat,Thought,Throw
An object that you use to protect yourself against rain or hot sun,Umbrella,Bat,Gun,Umbrella,Twinkies
The brother of your mother or father,Uncle,Aunt,Cousin,Grandpa,Uncle
A railway system that runs under the ground below a big city,Subway,Sideway,Sandwich,Subway,Substitute
One of the hard white objects in your mouth that you use to bite and eat food,Tooth,Tooth,Tongue,Rip,Nose
A written or printed message that is usually put in an envelope and sent by mail,Letter,Let,Lettuce,Letter,Leak
